id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,city,zipcode
643821913741559437,Heart of Cap Hill One Bedroom #4,461777855,Vivian,Capitol Hill,Broadway,47.6182718,-122.3241875,Entire home/apt,112,1,35,2023-03-13,3.65,9,76,35,Seattle,98122.0
669735617462052577,Amazing Getaway in the Heart of Seattle,469164829,Jing,Downtown,Belltown,47.61649,-122.34667,Entire home/apt,95,2,48,2023-03-09,6.21,1,104,48,Seattle,98121.0
700135877450475400,Sunshine Studio near UW and DT!,435491676,Tripalink,University District,University District,47.67155,-122.31216,Private room,69,30,0,,,6,114,0,Seattle,98105.0
721977769947102749,4 Bed Modern Townhouse  |  WFH Office  |  Rooftop,319261569,Max,Delridge,South Delridge,47.52577770154004,-122.36142323697314,Entire home/apt,153,2,18,2023-03-19,3.33,1,243,18,Seattle,98106.0
753843177470504662,Seattle Urban Village - Vashon - Roof top view de,484899828,Amy,Cascade,Eastlake,47.64033,-122.32405,Private room,66,10,0,,,54,343,0,Seattle,98102.0
771345963470770104,Amazing Lake Washington Views,69698279,Gadi,Central Area,Madrona,47.61349547831303,-122.2837601883606,Entire home/apt,295,30,0,,,1,346,0,Seattle,98122.0
804444138873083729,Charming craftsman in Seattle.,69270874,Wayne,Rainier Valley,Mount Baker,47.5713394,-122.2853306,Entire home/apt,175,2,0,,,1,0,0,Seattle,98144.0
852199164020509373,2 Beds & Bath Private Unit Free Parking 中文 Airport,215426444,Emily,Beacon Hill,South Beacon Hill,47.52344530109784,-122.2850959359236,Entire home/apt,43,1,0,,,5,49,0,Seattle,98118.0
8054604,Urban Safari Ndogo (Mini),27837802,Jan,,Hennepin,44.95781,-93.2576,Private room,44,1,101,2022-11-21,1.1,2,90,17,Twin Cities MSA,55404.0
15799765,Gorgeous lake home with beachside cabana!,8852167,Cheryl,,Le Sueur,44.27374,-93.82205,Entire home/apt,400,2,3,2017-02-25,0.04,1,324,0,Twin Cities MSA,56017.0
20654688,Charming Two Bedroom 2nd Floor near Xcel Center,144956455,Randy & Tamara,,Dakota,44.91637,-93.09958,Private room,60,1,120,2023-03-12,1.94,1,136,37,Twin Cities MSA,55118.0
22225315,Comfortable House 1 Block from Light Rail Station,62331015,Josh,,Hennepin,44.91923,-93.22242,Entire home/apt,110,2,258,2023-03-19,4.06,1,149,40,Twin Cities MSA,55406.0
22925806,Guest Bedroom - Two Twin Beds,169755943,Judy,,Dakota,44.82712,-93.18151,Private room,30,2,207,2023-03-09,3.3,1,286,35,Twin Cities MSA,55122.0
28963336,"Quiet,peaceful place close to the Trimbelle River",216876387,Kim,,Pierce,44.63809,-92.5856,Entire home/apt,120,1,128,2023-02-18,2.39,1,191,33,Twin Cities MSA,54011.0
33882921,Capitol View get-away,151967381,Lance,,Dakota,44.91793,-93.10036,Entire home/apt,141,5,11,2020-06-24,0.24,1,358,0,Twin Cities MSA,55118.0
